key,ticker,name,description,start-moment,end-moment,more-info,draft-mode,key:fundraiser
#fail ticker
strategy-01,A00-12345_aB,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/06/15 21:00,2025/09/27 20:00,null,true,fundraiser-01
strategy-02,Aa00-12345_aB,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/06/15 21:00,2025/09/27 20:00,null,true,fundraiser-01
strategy-03,AAAA-12345_aB,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/06/15 21:00,2025/09/27 20:00,null,true,fundraiser-01
strategy-04,AAA0-12345_aB,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/06/15 21:00,2025/09/27 20:00,null,true,fundraiser-01
strategy-05,A000-1234,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/06/15 21:00,2025/09/27 20:00,null,true,fundraiser-01
strategy-06,AA00-12345_aB9LX,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/06/15 21:00,2025/09/27 20:00,null,true,fundraiser-01
strategy-07,AA00-12345-aB,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/06/15 21:00,2025/09/27 20:00,null,true,fundraiser-01
#fail name
strategy-08,AA00-12345_aB,"","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/06/15 21:00,2025/09/27 20:00,null,true,fundraiser-01
strategy-09,AA00-12345_a,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/06/15 21:00,2025/09/27 20:00,null,true,fundraiser-01
