key,key:auditor,ticker,name,description,startMoment,endMoment,moreInfo,draftMode
audit-report-01,auditor-01,MV00-12345,TestCase,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-02,auditor-01,MV01-12345,TestCase,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",false
#Testing string limits
audit-report-03,auditor-01,MV02-12345,a,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-04,auditor-01,MV03-12345,TestCase,a,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-05,auditor-01,MV04-12345,TestCase,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-06,auditor-01,MV05-12345,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo li",TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-07,auditor-01,MV06-12345,TestCase,Eub6JiBOkvCHkvv5TYvqdwwf1befBfI19qqCBJOa47V62Gxs0n75SdXNKxeZ1mTbq33s6g5BZv5mgwVbTlmBDLzMhqRGYHgz0BH822UcooSuAsqfCXqFlMibDfKdyJNdEub6JiBOkvCHkvv5TYvqdwwf1befBfI19qqCBJOa47V62Gxs0n75SdXNKxeZ1mTbq33s6g5BZv5mgwVbTlmBDLzMhqRGYHgz0BH822UcooSuAsqfCXqFlMibDfKdyJ,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-08,auditor-01,MV07-12345,TestCase,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
#Testing if the strings accept other characters like other languages or emoticons
audit-report-09,auditor-01,MV08-12345,👍,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-10,auditor-01,MV09-12345,TestCase,👍,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-11,auditor-01,MV10-12345,TestCase,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-12,auditor-01,MV11-12345,天飽雲馬消根清歡寫尾做兒幫,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-13,auditor-01,MV12-12345,TestCase,天飽雲馬消根清歡寫尾做兒幫,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-14,auditor-01,MV13-12345,TestCase,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
#Testing if the strings account for different scripts
audit-report-15,auditor-01,MV14-12345,<h1>Hi</h1>,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-16,auditor-01,MV15-12345,TestCase,<h1>Hi</h1>,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-17,auditor-01,MV16-12345,TestCase,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-18,auditor-01,MV17-12345,<script>alert('!')<script>,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-19,auditor-01,MV18-12345,TestCase,<script>alert('!')<script>,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-20,auditor-01,MV19-12345,TestCase,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-21,auditor-01,MV20-12345,' or 'A' = 'A',TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-22,auditor-01,MV21-12345,TestCase,' or 'A' = 'A',2025/01/01 00:00,2025/05/16 00:00,"",true
audit-report-23,auditor-01,MV22-12345,TestCase,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
#Testing the ticker limit
audit-report-24,auditor-01,MV00-123456789,TestCase,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,"",true
#Testing the url criteria
audit-report-25,auditor-01,MV25-12345,TestCase,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,http://a.b,true
audit-report-26,auditor-01,MV27-12345,TestCase,TestingThePopulations,2025/01/01 00:00,2025/05/16 00:00,http://a.b?c,true
